# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Standard Edition
# File: D:\NMR_PCBv2_HDLv1_2018_FPGA\QUARTUS-SoC\pin_assignments\de0-nano-soc.csv
# Generated on: Fri Dec 07 17:34:39 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Location,Direction,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
GPIO_1[8],PIN_AF21,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[9],PIN_AG20,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[10],PIN_AG19,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[11],PIN_AF20,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[12],PIN_AC23,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[13],PIN_AG18,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[14],PIN_AH26,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[15],PIN_AA19,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[16],PIN_AG24,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[17],PIN_AF25,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[18],PIN_AH23,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[19],PIN_AG23,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[20],PIN_AE19,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[21],PIN_AF18,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[22],PIN_AD19,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[23],PIN_AE20,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[24],PIN_AE24,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[25],PIN_AD20,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[26],PIN_AF22,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[27],PIN_AH22,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[28],PIN_AH19,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[29],PIN_AH21,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[30],PIN_AG21,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[31],PIN_AH18,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[32],PIN_AD23,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[33],PIN_AE23,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[34],PIN_AA18,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[35],PIN_AC22,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HPS_CONV_USB_N,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_DDR3_ADDR[0],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[1],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[2],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[3],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[4],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[5],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[6],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[7],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[8],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[9],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[10],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[11],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[12],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[13],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[14],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[0],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[1],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[2],,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CAS_N,,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CKE,,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CK_N,,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_P,,,,,,,,,
HPS_DDR3_CK_P,,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_N,,,,,,,,,
HPS_DDR3_CS_N,,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_DM[0],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[1],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[2],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[3],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[0],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[1],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[2],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[3],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[4],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[5],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[6],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[7],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[8],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[9],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[10],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[11],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[12],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[13],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[14],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[15],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[16],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[17],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[18],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[19],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[20],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[21],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[22],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[23],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[24],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[25],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[26],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[27],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[28],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[29],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[30],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[31],,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQS_N[0],,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0](n),,,,,,,,,
HPS_DDR3_DQS_N[0](n),,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0],,,,,,,,,
HPS_DDR3_DQS_N[1],,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1](n),,,,,,,,,
HPS_DDR3_DQS_N[1](n),,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1],,,,,,,,,
HPS_DDR3_DQS_N[2],,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2](n),,,,,,,,,
HPS_DDR3_DQS_N[2](n),,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2],,,,,,,,,
HPS_DDR3_DQS_N[3],,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3](n),,,,,,,,,
HPS_DDR3_DQS_N[3](n),,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3],,,,,,,,,
HPS_DDR3_DQS_P[0],,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0](n),,,,,,,,,
HPS_DDR3_DQS_P[0](n),,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0],,,,,,,,,
HPS_DDR3_DQS_P[1],,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1](n),,,,,,,,,
HPS_DDR3_DQS_P[1](n),,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1],,,,,,,,,
HPS_DDR3_DQS_P[2],,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2](n),,,,,,,,,
HPS_DDR3_DQS_P[2](n),,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2],,,,,,,,,
HPS_DDR3_DQS_P[3],,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3](n),,,,,,,,,
HPS_DDR3_DQS_P[3](n),,Unknown,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3],,,,,,,,,
HPS_DDR3_ODT,,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RAS_N,,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RESET_N,,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RZQ,,Unknown,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_WE_N,,Unknown,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_ENET_GTX_CLK,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_INT_N,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDC,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDIO,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_CLK,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[0],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[1],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[2],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[3],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DV,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[0],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[1],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[2],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[3],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_EN,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_GSENSOR_INT,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C0_SCLK,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C0_SDAT,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SCLK,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SDAT,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_KEY,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LED,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LTC_GPIO,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CLK,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CMD,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[0],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[1],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[2],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[3],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_CLK,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MISO,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MOSI,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_SS,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_RX,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_TX,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_CLKOUT,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[0],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[1],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[2],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[3],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[4],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[5],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[6],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[7],,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DIR,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_NXT,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_STP,,Unknown,,,3.3-V LVTTL,,,,,,,,,,,,,
KEY[0],PIN_AH17,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[1],PIN_AH16,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[0],PIN_W15,Unknown,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[1],PIN_AA24,Unknown,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[2],PIN_V16,Unknown,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[3],PIN_V15,Unknown,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[4],PIN_AF26,Unknown,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[5],PIN_AE26,Unknown,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[6],PIN_Y16,Unknown,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[7],PIN_AA23,Unknown,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[0],PIN_L10,Unknown,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[1],PIN_L9,Unknown,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[2],PIN_H6,Unknown,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[3],PIN_H5,Unknown,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
